Timestamp,Gender,Age,Year of Study,Major/Intended Major,"Average mobile screen time per day? (This question has to be accurate so please check this from your settings 🙏  🙏. in Hour:Min, don't worry about AM/PM)",What time of the day do you use your phone the most?⏰,What day of the week do you use your phone the most?📅,Most used app(Genre of app),Do you use your phone for academic purposes?,Number of people in your friend circle 👥👥,How would you rate your anxiety level on a scale of 1-5(with 5 being most anxious)😬,Do you play any sport? ⚽ 🏀 🏏,What is your CGPA? 🎓,Would you be willing to reduce your phone usage if it meant improving your academic performance?,"Do you use strategies to manage your phone usage? (e.g,  Setting usage limits, Using apps to track usage, Turning off notifications, Scheduled phone-free times  )"
10/15/2024 20:41:42,Male,22,Senior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:30:00 AM,Afternoon,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,8,3,Yes,3.3-3.6,Yes,Yes
10/15/2024 20:45:49,Male,21,Senior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:32:00 AM,Night,Tuesday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,100,3,No,3.6-4.0,Yes,No
10/15/2024 20:46:00,Male,20,Junior,Arts 🎨 / Humanities and Social Science💲,3:00:00 AM,Afternoon,Friday,"Messaging(Whatsapp, Messenger) 💬",Yes,10 to 15,2,Yes,3.0-3.3,Yes,Yes
10/15/2024 20:48:30,Female,21,Junior,Business Studies 📈,5:22:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,3,No,3.3-3.6,Yes,No
10/15/2024 21:49:45,Female,23,Senior,Medical 🩺,3:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,300,3,Yes,3.6-4.0,Yes,Yes
10/15/2024 22:48:56,Male,21,Senior,Business Studies 📈,8:45:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,6-8,2,Yes,3.3-3.6,No,No
10/15/2024 22:51:18,Male,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:00:00 AM,Night,Monday,"Messaging(Whatsapp, Messenger) 💬",Yes,6,4,Yes,3.6-4.0,Yes,No
10/15/2024 23:00:29,Male,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:00:00 AM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8-10,2,Yes,3.3-3.6,Yes,No
10/15/2024 23:22:46,Female,19,Freshman,Business Studies 📈,7:42:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,2-3,5,No,3.0-3.3,Yes,Yes
10/15/2024 23:35:29,Female,21,Junior,Econ math (both stem humanities),7:01:00 AM,Afternoon,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,4,No,3.3-3.6,Yes,No
10/16/2024 0:18:37,Male,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,8:50:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5-6,1,Yes,3.0-3.3,Yes,Yes
10/16/2024 1:06:42,Male,22,Junior,Business Studies 📈,6:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,6,3,,3.0-3.3,Yes,No
10/16/2024 3:12:38,Female,19,Freshman,Business Studies 📈,5:14:00 AM,Afternoon,Saturday,"Messaging(Whatsapp, Messenger) 💬",No,6,1,No,2.5-3.0,No,No
10/16/2024 14:15:36,Female,21,Junior,Business Studies 📈,6:32:00 AM,Night,Wednesday,"Entertainment(YouTube, Netflix etc) 📺",Yes,10,4,No,3.0-3.3,Yes,Yes
10/16/2024 19:08:46,Male,21,Senior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:30:00 AM,Night,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,5,3,Yes,2.5-3.0,Yes,No
10/16/2024 19:49:02,Female,21,Junior,Business Studies 📈,1:00:00 PM,Evening,Tuesday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10+,3,No,2.5-3.0,Yes,No
10/16/2024 19:54:13,Female,19,Freshman,Arts 🎨 / Humanities and Social Science💲,5:22:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,4,3,Yes,3.3-3.6,Yes,Yes
10/16/2024 20:21:14,Female,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:20:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,9,4,Yes,3.3-3.6,Yes,Yes
10/16/2024 20:40:24,Female,21,Junior,Arts 🎨 / Humanities and Social Science💲,3:42:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,7,4,No,3.3-3.6,Yes,No
10/16/2024 20:45:59,Female,20,Junior,Arts 🎨 / Humanities and Social Science💲,1:43:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,5,No,3.0-3.3,Yes,Yes
10/16/2024 21:21:06,Female,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,5:12:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,6-8,5,Yes,3.3-3.6,Yes,Yes
10/17/2024 2:13:13,Male,20,Freshman,economics ,4:06:00 AM,Night,Sunday,"Messaging(Whatsapp, Messenger) 💬",No,3,5,Yes,3.0-3.3,Yes,No
10/17/2024 3:13:25,Male,20,Sophomore,Arts 🎨 / Humanities and Social Science💲,6:20:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,10,1,Yes,<2.5,Yes,No
10/17/2024 4:16:48,Female,31,Senior,Law ⚖️,2:00:00 AM,Afternoon,Monday,"Studying(educational apps, e-books etc) 📚",Yes,3,2,No,3.6-4.0,Yes,Yes
10/17/2024 7:15:22,Male,22,Junior,Arts 🎨 / Humanities and Social Science💲,8:20:00 AM,Night,Monday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,4,Yes,3.3-3.6,Yes,Yes
10/17/2024 8:18:32,Male,24,Senior,Business Studies 📈,4:00:00 AM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,3,3,Yes,2.5-3.0,Yes,No
10/17/2024 9:13:32,Male,20,Senior,Business Studies 📈,6:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,3/4,2,Yes,2.5-3.0,Yes,Yes
10/17/2024 9:52:37,Male,21,Senior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,12:52:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,I have a lot of them but to keep the close ones I would say 4,4,Yes,3.6-4.0,Yes,Yes
10/17/2024 11:08:33,Female,22,Senior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:50:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,2,No,3.3-3.6,Yes,Yes
10/17/2024 17:38:37,Female,22,Junior,Arts 🎨 / Humanities and Social Science💲,6:25:00 AM,Afternoon,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5,3,No,3.3-3.6,Yes,Yes
10/17/2024 19:37:49,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:13:00 AM,Afternoon,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,13,4,No,3.0-3.3,Yes,Yes
10/17/2024 23:31:40,Female,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:49:00 AM,Evening,Sunday,"Messaging(Whatsapp, Messenger) 💬",Yes,9,4,Yes,3.6-4.0,Yes,Yes
10/18/2024 1:33:46,Male,19,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:30:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,0,5,Yes,2.5-3.0,No,No
10/18/2024 4:25:00,Male,22,Senior,Business Studies 📈,4:45:00 PM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes, None,3,No,3.0-3.3,Yes,No
10/18/2024 13:03:27,Male,21,Junior,Arts 🎨 / Humanities and Social Science💲,2:30:00 AM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,100,1,Yes,2.5-3.0,Yes,No
10/19/2024 23:30:09,Male,19,Sophomore,Business Studies 📈,10:37:00 AM,Evening,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,3,3,Yes,3.6-4.0,Yes,No
10/19/2024 23:32:27,Male,19,Freshman,Business Studies 📈,5:00:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5-10 ,3,Yes,2.5-3.0,Yes,Yes
10/19/2024 23:32:42,Female,21,Junior,Arts 🎨 / Humanities and Social Science💲,5:30:00 AM,Night,Thursday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,5,No,3.6-4.0,Yes,No
10/19/2024 23:34:55,Female,18,Freshman,Business Studies 📈,4:30:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5-6,4,No,3.0-3.3,Yes,No
10/19/2024 23:36:11,Female,18,Freshman,Business Studies 📈,2:30:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,4,4,No,3.6-4.0,Yes,No
10/19/2024 23:41:03,Male,19,Freshman,Business Studies 📈,3:47:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,4,No,3.0-3.3,Yes,No
10/20/2024 0:01:03,Female,18,Freshman,Law ⚖️,3:03:00 AM,Night,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,33,2,No,<2.5,Yes,Yes
10/20/2024 12:52:30,Female,19,Freshman,Arts 🎨 / Humanities and Social Science💲,3:44:00 AM,Afternoon,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,Idk a few,2,No,3.0-3.3,Yes,Yes
10/20/2024 17:32:03,Male,22,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:00:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,5,3,No,3.3-3.6,Yes,No
10/21/2024 11:52:41,Female,19,Freshman,Law ⚖️,3:03:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,4,4,Yes,3.3-3.6,Yes,Yes
10/22/2024 17:50:28,Female,22,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:48:00 AM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,3,5,No,3.3-3.6,Yes,No
10/24/2024 0:56:07,Male,20,Junior,Economics and finance,4:30:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,1,2,Yes,3.6-4.0,Yes,No
10/26/2024 19:18:05,Male,18,Freshman,Arts 🎨 / Humanities and Social Science💲,6:59:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,6,5,No,3.3-3.6,Yes,No
10/27/2024 15:20:45,Female,20,Sophomore,Arts 🎨 / Humanities and Social Science💲,7:23:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,3,4,No,2.5-3.0,Yes,No
10/27/2024 17:37:36,Female,19,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:40:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,3,No,3.3-3.6,Yes,No
10/27/2024 17:39:13,Female,23,Senior,Arts 🎨 / Humanities and Social Science💲,4:13:00 AM,Afternoon,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,6,5,No,3.6-4.0,Yes,Yes
10/27/2024 18:59:25,Female,22,Junior,Law ⚖️,2:10:00 AM,Night,Sunday,"Messaging(Whatsapp, Messenger) 💬",Yes,3,3,Yes,3.6-4.0,Yes,Yes
10/28/2024 0:46:30,Female,21,Junior,Medical 🩺,8:29:00 AM,Night,Saturday,"Messaging(Whatsapp, Messenger) 💬",No,3,5,No,2.5-3.0,Yes,No
10/28/2024 1:56:42,Female,22,Senior,Business Studies 📈,5:55:00 AM,Afternoon,Saturday,News Browsing 🗞️,No,15,3,No,3.6-4.0,No,No
10/28/2024 1:58:40,Female,19,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,7:00:00 PM,Morning,Monday,"Studying(educational apps, e-books etc) 📚",Yes,0 I'm alone 😔,5,No,3.3-3.6,Yes,No
10/28/2024 21:53:38,Female,20,Senior,Arts 🎨 / Humanities and Social Science💲,1:15:00 AM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5,4,No,3.6-4.0,Yes,Yes
11/3/2024 14:35:24,Female,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,7:34:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,2,5,No,2.5-3.0,Yes,No
11/3/2024 14:37:48,Female,22,Senior,Business Studies 📈,5:40:00 AM,Morning,Friday,"Entertainment(YouTube, Netflix etc) 📺",Yes,4,5,No,3.0-3.3,Yes,No
11/3/2024 18:51:04,Female,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,7:21:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,6,4,No,2.5-3.0,Yes,No
11/3/2024 18:59:06,Male,22,Senior,Business Studies 📈,4:30:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,6,4,Yes,3.6-4.0,No,No
11/3/2024 23:44:15,Female,20,Sophomore,Arts 🎨 / Humanities and Social Science💲,6:53:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,7,4,No,<2.5,Yes,No
11/4/2024 1:54:01,Male,21,Senior,Business Studies 📈,4:07:00 AM,Night,Friday,"Messaging(Whatsapp, Messenger) 💬",No,8,4,Yes,3.3-3.6,Yes,Yes
11/4/2024 21:40:12,Female,20,Freshman,Medical 🩺,4:10:00 AM,Night,Saturday,"Messaging(Whatsapp, Messenger) 💬",No,10,3,Yes,3.3-3.6,Yes,No
11/5/2024 12:43:59,Male,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,1:30:00 AM,Afternoon,Monday,"Studying(educational apps, e-books etc) 📚",Yes,6,2,Yes,3.6-4.0,Yes,Yes
11/5/2024 12:45:45,Female,23,Senior,Law ⚖️,8:00:00 AM,Night,Monday,Gaming 🎮,No,1,1,No,<2.5,No,No
11/6/2024 0:22:30,Female,21,Junior,Arts 🎨 / Humanities and Social Science💲,5:41:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5,4,No,3.3-3.6,Yes,No
11/6/2024 0:23:34,Female,22,Senior,Business Studies 📈,4:37:00 AM,Night,Friday,"Messaging(Whatsapp, Messenger) 💬",Yes,3,3,No,3.6-4.0,Yes,Yes
11/8/2024 1:35:11,Male,21,Senior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,7:51:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,50,1,Yes,3.3-3.6,No,No
11/8/2024 1:37:54,Male,21,Senior,Business Studies 📈,8:32:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,6,2,Yes,3.3-3.6,Yes,No
11/8/2024 1:41:55,Female,24,Senior,Medical 🩺,3:24:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,18,5,No,3.6-4.0,Yes,No
11/8/2024 9:51:15,Female,19,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:08:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5,4,No,3.0-3.3,No,No
11/8/2024 15:24:37,Male,20,Sophomore,Business Studies 📈,3:50:00 AM,Evening,Monday,"Messaging(Whatsapp, Messenger) 💬",Yes,8-10,3,Yes,3.3-3.6,Yes,Yes
11/8/2024 18:03:19,Male,23,Senior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:29:00 AM,Night,Sunday,"Entertainment(YouTube, Netflix etc) 📺",Yes,5,5,Yes,2.5-3.0,Yes,No
11/15/2024 16:31:12,Male,19,Freshman,Law ⚖️,5:21:00 AM,Afternoon,Friday,"Entertainment(YouTube, Netflix etc) 📺",No,9,2,Yes,2.5-3.0,Yes,No
11/15/2024 16:33:50,Female,23,Senior,Business Studies 📈,3:47:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,6,4,No,3.3-3.6,No,No
11/15/2024 16:33:51,Male,23,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,5:30:00 AM,Evening,Saturday,Gaming 🎮,Yes,8,2,Yes,3.3-3.6,Yes,Yes
11/15/2024 16:35:01,Female,23,Senior,Law ⚖️,6:22:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,35,3,No,3.3-3.6,Yes,No
11/15/2024 16:35:09,Female,22,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:35:00 AM,Evening,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,4,3,No,3.0-3.3,Yes,Yes
11/15/2024 16:35:18,Male,22,Junior,Arts 🎨 / Humanities and Social Science💲,4:20:00 AM,Night,Monday,"Entertainment(YouTube, Netflix etc) 📺",Yes,20-30,3,Yes,3.3-3.6,Yes,Yes
11/15/2024 16:36:05,Female,23,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:56:00 AM,Afternoon,Thursday,"Messaging(Whatsapp, Messenger) 💬",Yes,3,4,No,3.6-4.0,Yes,Yes
11/15/2024 16:36:08,Male,20,Freshman,Arts 🎨 / Humanities and Social Science💲,4:00:00 AM,Afternoon,Friday,"Entertainment(YouTube, Netflix etc) 📺",Yes,6-9,1,Yes,3.6-4.0,Yes,Yes
11/15/2024 16:37:28,Female,22,Junior,Medical 🩺,6:00:00 AM,Night,Saturday,"Messaging(Whatsapp, Messenger) 💬",Yes,5,4,No,3.0-3.3,Yes,Yes
11/15/2024 16:37:29,Female,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,1:20:00 AM,Morning,Friday,"Messaging(Whatsapp, Messenger) 💬",Yes,5,3,No,3.6-4.0,Yes,Yes
11/15/2024 16:38:04,Female,20,Freshman,Medical 🩺,2:49:00 AM,Night,Thursday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,10,1,No,3.3-3.6,No,Yes
11/15/2024 16:38:13,Female,20,Sophomore,Business Studies 📈,5:45:00 AM,Afternoon,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,15,2,Yes,3.6-4.0,Yes,Yes
11/15/2024 16:38:41,Female,20,Junior,Arts 🎨 / Humanities and Social Science💲,8:40:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,5,No,3.3-3.6,Yes,No
11/15/2024 16:39:03,Male,23,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:00:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,5-6,5,No,3.0-3.3,Yes,Yes
11/15/2024 16:39:24,Female,21,Junior,Arts 🎨 / Humanities and Social Science💲,4:26:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5,5,No,2.5-3.0,Yes,No
11/15/2024 16:40:25,Female,20,Sophomore,Arts 🎨 / Humanities and Social Science💲,5:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,None,4,No,3.6-4.0,Yes,No
11/15/2024 16:41:22,Male,23,Senior,Business Studies 📈,3:30:00 AM,Evening,Monday,Gaming 🎮,Yes,4,3,Yes,3.6-4.0,Yes,Yes
11/15/2024 16:41:33,Male,25,Senior,Medical 🩺,3:35:00 AM,Night,Friday,"Entertainment(YouTube, Netflix etc) 📺",No,20,2,Yes,2.5-3.0,Yes,No
11/15/2024 16:42:07,Female,22,Sophomore,Law ⚖️,8:11:00 AM,Night,Sunday,Gaming 🎮,No,2,3,No,2.5-3.0,Yes,No
11/15/2024 16:42:52,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:40:00 AM,Night,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,9,4,Yes,3.0-3.3,Yes,No
11/15/2024 16:42:55,Female,22,Sophomore,Business Studies 📈,4:41:00 AM,Night,Sunday,"Studying(educational apps, e-books etc) 📚",Yes,2,5,No,3.6-4.0,Yes,Yes
11/15/2024 16:43:32,Female,25,Senior,Arts 🎨 / Humanities and Social Science💲,5:11:00 AM,Evening,Sunday,"Entertainment(YouTube, Netflix etc) 📺",No,15,4,No,3.3-3.6,Yes,Yes
